character,traditional_character,alternate_characters,pinyin,definition,hsk_level,frequency
拟,擬,擬,nǐ,"draft; intend, plan, propose",6,1541
滚,滾,滾,gǔn,turn,5,1542
奏,,,zòu,memorialize emperor; report,6,1543
巡,,,xún,"patrol, go on circuit, cruise",6,1544
颜,顏,顏,yán,"face, facial appearance",2,1545
剂,劑,劑,jì,medicinal preparation,6,1546
绩,績,績,jī,spin; achievements,3,1547
贡,貢,貢,gòng,"offer tribute; tribute, gifts",5,1548
疯,瘋,瘋,fēng,"crazy, insane, mentally ill",5,1549
坡,,,pō,"slope, bank, hillside",6,1550
瞧,,,qiáo,"glance at, look at, see",5,1551
截,,,jié,"cut off, stop, obstruct, intersect",6,1552
燃,,,rán,"burn; light fire, ignite",5,1553
焦,,,jiāo,"burned, scorched; anxious, vexed",6,1554
殿,,,diàn,hall; palace; temple,6,1555
伪,僞,僞,wěi,"false, counterfeit, bogus",6,1556
柳,,,liǔ,willow tree; pleasure,,1557
锁,鎖,鎖,suǒ,"lock, padlock; shackles, chains",5,1558
逼,,,bī,"compel, pressure, force; bother",6,1559
颇,頗,頗,pō,"lean one side; very, rather",6,1560
昏,,,hūn,"dusk, nightfall, twilight, dark",6,1561
劝,勸,勸,quàn,"recommend, advise, urge",5,1562
呈,,,chéng,"submit, show; appear; petition",6,1563
搜,,,sōu,"search, seek; investigate",5,1564
勤,,,qín,"industrious, diligent, attentive",5,1565
戒,,,jiè,"warn, caution, admonish",5,1566
驾,駕,駕,jià,"to drive, sail, fly; a cart, carriage",5,1567
漂,,,piào,"float, drift; tossed about",1,1568
饮,飲,飲,yǐn,drink; swallow; kind of drink,3,1569
曹,,,cáo,ministry officials; surname,,1570
朵,,,duǒ,cluster of flowers; earlobe,3,1571
仔,,,zǐ,"small thing, child; young animal",4,1572
柔,,,róu,"soft; gentle, pliant",5,1573
俩,倆,倆,liǎ,"two, pair",4,1574
孟,,,mèng,"first in series; great, eminent",,1575
腐,,,fǔ,"rot, decay, spoil; rotten",5,1576
幼,,,yòu,"infant, young child; immature",5,1577
践,踐,踐,jiàn,"trample, tread upon, walk on",5,1578
籍,,,jí,"record, register, list; census",4,1579
牧,,,mù,"tend cattle, shepherd",6,1580
凉,涼,涼,liáng,"cool, cold; disheartened",4,1581
牲,,,shēng,sacrificial animal; animal,6,1582
佳,,,jiā,"good, auspicious; beautiful; delightful",6,1583
娜,,,nà,"elegant, graceful, delicate",,1584
浓,濃,濃,nóng,"thick, strong, concentrated",5,1585
芳,,,fāng,fragrant; virtuous; beautiful,,1586
稿,,,gǎo,"draft, manuscript, rough copy",6,1587
竹,,,zhú,bamboo; flute; KangXi radical 118,5,1588
腹,,,fù,"stomach, belly, abdomen; inside",6,1589
跌,,,diē,"stumble, slip, fall down; stamp",6,1590
逻,邏,邏,luó,patrol; inspect; watch; patrol,5,1591
垂,,,chuí,"let down; suspend, hand; down",6,1592
遵,,,zūn,"obey, comply with, follow; honor",5,1593
脉,脈,脈,mài,"blood vessels, veins, arteries",6,1594
貌,,,mào,"countenance, appearance",4,1595
柏,,,bǎi,"cypress, cedar",,1596
狱,獄,獄,yù,"prison, jail; case; lawsuit",6,1597
猜,,,cāi,"guess, conjecture, suppose; feel",4,1598
怜,憐,憐,lián,"pity, sympathize",4,1599
惑,,,huò,"confuse, mislead, baffle; doubt",6,1600
陶,,,táo,"pottery, ceramics",6,1601
兽,獸,獸,shòu,"beast, animal; bestial",6,1602
帐,帳,帳,zhàng,"tent; screen, mosquito net",6,1603
饰,飾,飾,shì,"decorate, ornament, adorn",5,1604
贷,貸,貸,dài,lend; borrow; pardon,5,1605
昌,,,chāng,"light of sun; good, proper",6,1606
叙,敘,敘,xù,"express, state, relate, narrate",5,1607
躺,,,tǎng,"lie down, recline",4,1608
钢,鋼,鋼,gāng,"steel; hard, strong, tough",4,1609
沟,溝,溝,gōu,"ditch, drain, narrow waterway",5,1610
寄,,,jì,"send, transmit, mail; rely on",4,1611
扶,,,fú,"support, help; protect; hold on",5,1612
铺,鋪,鋪,pù,"shop, store; place sleep, bed",6,1613
邓,鄧,鄧,dèng,surname,,1614
寿,壽,壽,shòu,"old age, long life; lifespan",5,1615
惧,懼,懼,jù,"fear, be afraid of, dread",6,1616
询,詢,詢,xún,"inquire into, ask about; consult",5,1617
汤,湯,湯,tāng,"hot water; soup, gravy, broth",4,1618
盗,盜,盜,dào,"rob, steal; thief, bandit",6,1619
肥,,,féi,"fat, plump, obese; fertile",4,1620
尝,嘗,嘗,cháng,"taste; experience, experiment",4,1621
匆,,,cōng,"hastily, in haste, hurriedly",5,1622
辉,輝,輝,huī,"brightness, luster, brilliance",6,1623
奈,,,nài,"but, how; bear, stand, endure",5,1624
扣,,,kòu,"knock, strike, rap, tap; button",6,1625
廷,,,tíng,court,,1626
澳,,,ào,"inlet, bay; dock, bank",,1627
嘛,,,ma,final exclamatory particle,6,1628
董,,,dǒng,"direct, supervise; surname",6,1629
迁,遷,遷,qiān,"move, shift, change; transfer; relocate a capital city",6,1630
凝,,,níng,coagulate; congeal; freeze,6,1631
慰,,,wèi,"comfort, console, calm",5,1632
厌,厭,厭,yàn,"dislike, detest, reject; satiate",4,1633
脏,髒,髒,zàng,"internal organs, viscera; dirty",4,1634
腾,騰,騰,téng,fly; gallop; run; prance; rise,6,1635
幽,,,yōu,"quiet, secluded, tranquil; dark",4,1636
怨,,,yuàn,"hatred, enmity, resentment",5,1637
鞋,,,xié,"shoes, footwear in general",3,1638
丢,丟,丟,diū,discard,4,1639
埋,,,mái,"bury, secrete, conceal",6,1640
泉,,,quán,"spring, fountain; wealth, money",4,1641
涌,湧,湧,yǒng,"surge up, bubble up, gush forth",6,1642
辖,轄,轄,xiá,linchpin of wheel; control,6,1643
躲,,,duǒ,"hide, secrete; avoid, escape",5,1644
晋,晉,晉,jìn,"advance, increase; promote",6,1645
紫,,,zǐ,"purple, violet; amethyst; surname",5,1646
艰,艱,艱,jiān,"difficult, hard; distressing",5,1647
魏,,,wèi,kingdom of Wei; surname,,1648
吾,,,wú,"i, my, our; resist, impede",,1649
慌,,,huāng,"nervous, panicky, frantic",5,1650
祝,,,zhù,pray for happiness or blessings,4,1651
邮,郵,郵,yóu,"postal, mail; post office",3,1652
吐,,,tǔ,"vomit, spew out, cough up",5,1653
狠,,,hěn,"vicious, cruel; severely, extreme",6,1654
鉴,鑑,鑑,jiàn,"mirror, looking glass; reflect",6,1655
曰,,,yuē,say; KangXi radical 73,,1656
械,,,xiè,"weapons; implements, instruments",6,1657
咬,,,yǎo,"bite, gnaw",5,1658
邻,鄰,鄰,lín,neighbor; neighborhood,3,1659
赤,,,chì,,6,1660
挤,擠,擠,jǐ,"crowd, squeeze, push against",5,1661
弯,彎,彎,wān,"bend, curve",5,1662
椅,,,yǐ,"chair, seat",1,1663
陪,,,péi,"accompany, be with, keep company",4,1664
割,,,gē,"cut, divide, partition; cede",6,1665
揭,,,jiē,"raise, lift up; surname",6,1666
韦,韋,韋,wéi,tanned leather; surname; simplified form of KangXi radical number 178,,1667
悟,,,wù,"to apprehend, realize, become aware",6,1668
聪,聰,聰,cōng,"intelligent, clever, bright",3,1669
雾,霧,霧,wù,"fog, mist, vapor, fine spray",5,1670
锋,鋒,鋒,fēng,"point of spear, sharp point",6,1671
梯,,,tī,"ladder, steps, stairs; lean",3,1672
猫,貓,貓,māo,cat,1,1673
祥,,,xiáng,"good luck, good omen; happiness",6,1674
阔,闊,闊,kuò,"broad, ample, wide; be apart",6,1675
誉,譽,譽,yù,"fame, reputation; praise",6,1676
筹,籌,籌,chóu,"chip, tally, token; raise money",6,1677
丛,叢,叢,cóng,"bush, shrub; thicket; collection",6,1678
牵,牽,牽,qiān,"drag, pull, lead by hand",6,1679
鸣,鳴,鳴,míng,cry of bird or animal; make sound,6,1680
沈,,,chén,"sink, submerge; addicted to; surname",,1681
阁,閣,閣,gé,"chamber, pavilion; cabinet",,1682
穆,,,mù,"majestic, solemn, reverent; calm",,1683
屈,,,qū,"bend, flex; bent, crooked; crouch",5,1684
旨,,,zhǐ,"purpose, aim; excellent",6,1685
袖,,,xiù,sleeve; put something in sleeve,6,1686
猎,獵,獵,liè,hunt; field sports,6,1687
臂,,,bì,arm,6,1688
蛇,,,shé,snake,5,1689
贺,賀,賀,hè,congratulate; send present,4,1690
柱,,,zhù,"pillar, post; support; lean on",6,1691
抛,拋,拋,pāo,throw (away),6,1692
鼠,,,shǔ,"rat, mouse; KangXi radical 208",5,1693
瑟,,,sè,"large stringed musical instrument; dignified, massive; sound of wind",,1694
戈,,,gē,"halberd, spear, lance; rad. 62",,1695
牢,,,láo,"prison; stable, pen; secure",6,1696
逊,遜,遜,xùn,"humble, modest; yield",6,1697
迈,邁,邁,mài,take a big stride; pass by,6,1698
欺,,,qī,"cheat, double-cross, deceive",6,1699
吨,噸,噸,dūn,"metric ton; (Cant.) to babble, gibberish",5,1700
琴,,,qín,Chinese lute or guitar,4,1701
衰,,,shuāi,"decline, falter, decrease; weaken",6,1702
瓶,,,píng,"jug, pitcher, vase, jar, bottle",3,1703
恼,惱,惱,nǎo,"angered, filled with hate",4,1704
燕,,,yàn,"swallow (bird); comfort, enjoy",,1705
仲,,,zhòng,"middle brother; go between, mediator; surname",,1706
诱,誘,誘,yòu,"persuade, entice, induce; guide",6,1707
狼,,,láng,wolf,6,1708
池,,,chí,"pool, pond; moat; cistern",5,1709
疼,,,téng,"aches, pains; be fond of; love",3,1710
卢,盧,盧,lú,"cottage, hut; surname; black",,1711
仗,,,zhàng,"rely upon; protector; fight; war, weaponry",6,1712
冠,,,guān,"cap, crown, headgear",5,1713
粒,,,lì,grain; small particle,6,1714
遥,遙,遙,yáo,"far away, distant, remote",6,1715
吕,呂,呂,lǚ,surname; a musical note,,1716
玄,,,xuán,"deep, profound, abstruse; KangXi radical 95",,1717
尘,塵,塵,chén,"dust, dirt, ashes, cinders",5,1718
冯,馮,馮,féng,surname; gallop; by dint of,,1719
抚,撫,撫,fǔ,"pat, console, comfort; pacify",6,1720
浅,淺,淺,qiǎn,"shallow, not deep; superficial",5,1721
敦,,,dūn,"esteem; honest, candid, sincere",,1722
纠,糾,糾,jiū,"investigate, inspect",6,1723
钻,鑽,鑽,zuān,"drill, bore; pierce; diamond",6,1724
晶,,,jīng,"crystal; clear, bright; radiant",6,1725
岂,豈,豈,qǐ,how? what?,6,1726
峡,峽,峽,xiá,"gorge, strait, ravine; isthmus",6,1727
苍,蒼,蒼,cāng,blue; green,6,1728
喷,噴,噴,pēn,"spurt, blow out, puff out",5,1729
耗,,,hào,"consume, use up; waste, squander",6,1730
凌,,,líng,pure; virtuous; insult; maltreat,5,1731
敲,,,qiāo,"strike, beat, pound, hammer; rap",4,1732
菌,,,jūn,"mushroom; germ, microbe",6,1733
赔,賠,賠,péi,"indemnify, suffer loss",5,1734
涂,塗,塗,tú,surname; name of certain rivers,5,1735
粹,,,cuì,pure; unadulterated; select,6,1736
扁,,,biǎn,"flat; tablet, signboard",6,1737
亏,虧,虧,kuī,"lose, fail; damage; deficient",5,1738
寂,,,jì,"still, silent, quiet, desolate",5,1739
煤,,,méi,"coal, coke, charcoal, carbon",5,1740
熊,,,xióng,a bear; brilliant; bright; surname,3,1741
恭,,,gōng,"respectful, polite, reverent",5,1742
湿,溼,溼,shī,"wet, moist, humid, damp; illness",5,1743
循,,,xún,"obey, comply with, follow",6,1744
暖,,,nuǎn,"warm, genial",4,1745
糖,,,táng,sugar; candy; sweets,4,1746
赋,賦,賦,fù,tax; give; endow; army; diffuse,6,1747
抑,,,yì,"press down, repress; curb, hinder",6,1748
秩,,,zhì,order; orderly; salary; decade,5,1749
帽,,,mào,"hat, cap; cap-like tops",3,1750
哀,,,āi,"sad, mournful, pitiful; pity",6,1751
宿,,,sù,"stop, rest, lodge, stay overnight; constellation",5,1752
踏,,,tà,"step on, trample, tread on, walk",6,1753
烂,爛,爛,làn,"rotten, spoiled, decayed",5,1754
袁,,,yuán,robe; surname,,1755
侯,,,hóu,"marquis, lord; target in archery",,1756
抖,,,dǒu,"tremble, shake, rouse; give shake",5,1757
夹,夾,夾,jiā,be wedged or inserted between,5,1758
昆,,,kūn,elder brother; descendants,5,1759
肝,,,gān,liver,,1760
擦,,,cā,"wipe, scrub, rub, scour; brush",4,1761
猪,豬,豬,zhū,"pig, hog, wild boar",5,1762
炼,煉,煉,liàn,"smelt, refine; distill, condense",3,1763
恒,恆,恆,héng,"constant, regular, persistent",6,1764
慎,,,shèn,"act with care, be cautious",5,1765
搬,,,bān,"transfer, move, remove, shift",3,1766
纽,紐,紐,niǔ,"knot; button; handle, knob; tie",6,1767
纹,紋,紋,wén,"line, streak, stripe; wrinkle",6,1768
玻,,,bō,glass,5,1769
渔,漁,漁,yú,to fish; seize; pursue; surname,6,1770
磁,,,cí,magnetic; magnetism; porcelain,6,1771
铜,銅,銅,tóng,"copper, brass, bronze",6,1772
齿,齒,齒,chǐ,"teeth; gears, cogs; age; simplified form of the KangXi radical number 211",5,1773
跨,,,kuà,"straddle, bestride, ride; carry",6,1774
押,,,yā,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard",5,1775
怖,,,bù,"terror, fear; frighten; terrified",6,1776
漠,,,mò,"desert; aloof, indifferent, cool",5,1777
疲,,,pí,"feel tired, be exhausted; weak",5,1778
叛,,,pàn,rebel; rebellion; rebellious,6,1779
遣,,,qiǎn,"send, dispatch; send off, exile",6,1780
兹,茲,茲,zī,"now, here; this; time, year",,1781
祭,,,jì,"sacrifice to, worship",,1782
醉,,,zuì,"intoxicated, drunk; addicted to",5,1783
拳,,,quán,fist; various forms of boxing,5,1784
弥,彌,彌,mí,"extensive, full; fill; complete",6,1785
斜,,,xié,"slanting, sloping, inclined",5,1786
档,檔,檔,dàng,"shelf; frame, crosspiece",5,1787
稀,,,xī,"rare, unusual, scarce; sparse",6,1788
捷,,,jié,"win, victory, triumph",6,1789
肤,膚,膚,fū,"skin; superficial, shallow",4,1790
疫,,,yì,"epidemic, plague, pestilence",6,1791
肿,腫,腫,zhǒng,swell; swollen; swelling,6,1792
豆,,,dòu,"beans, peas; bean-shaped",5,1793
削,,,xuē,"scrape off, pare, trim",6,1794
岗,崗,崗,gǎng,post; position,6,1795
晃,,,huǎng,"bright, dazzling; to sway, shake",6,1796
吞,,,tūn,"swallow; absorb, annex, engulf",6,1797
宏,,,hóng,"wide, spacious, great, vast",6,1798
癌,,,ái,cancer; marmoset,6,1799
肚,,,dù,belly; abdomen; bowels,4,1800
隶,隸,隸,lì,subservient; servant; KangXi radical 171,6,1801
履,,,lǚ,"footwear, shoes; walk on, tread",6,1802
涨,漲,漲,zhǎng,rise in price,5,1803
耀,,,yào,"shine, sparkle, dazzle; glory",6,1804
扭,,,niǔ,"turn, twist, wrench; seize, grasp",6,1805
坛,壇,壇,tán,"altar; arena, examination hall",6,1806
拨,撥,撥,bō,move; dispel; distribute,6,1807
沃,,,wò,"water, irrigate; fertile, rich",6,1808
绘,繪,繪,huì,"draw, sketch, paint",6,1809
伐,,,fá,"cut down, subjugate, attack",6,1810
堪,,,kān,"adequately capable of, worthy of",6,1811
仆,僕,僕,pū,"fall forward; lie prostrate, prone; servant",,1812
郭,,,guō,outer part (of a city); surname,,1813
牺,犧,犧,xī,"sacrifice, give up; sacrificial",6,1814
歼,殲,殲,jiān,"annihilate, wipe out, kill off",,1815
墓,,,mù,"grave, tomb",6,1816
雇,僱,僱,gù,"employ, to hire",6,1817
廉,,,lián,"upright, honorable, honest",6,1818
契,,,qì,"deed, contract, bond; engrave",,1819
拼,,,pīn,"join together, link, incorporate",5,1820
惩,懲,懲,chéng,"punish, reprimand; warn",6,1821
捉,,,zhuō,"grasp, clutch; catch, seize",6,1822
覆,,,fù,cover; tip over; return; reply,6,1823
刷,,,shuā,"brush; clean with brush, scrub",3,1824
劫,,,jié,"take by force, coerce; disaster",6,1825
嫌,,,xián,"hate, detest; suspect; criticize",6,1826
瓜,,,guā,"melon, gourd, cucumber; rad. 97",2,1827
歇,,,xiē,"rest, stop, lodge",5,1828
雕,,,diāo,"engrave, inlay, carve; exhaust; used for",6,1829
闷,悶,悶,mèn,"gloomy, depressed, melancholy",6,1830
乳,,,rǔ,"breast, nipples; milk, suckle",6,1831
串,,,chuàn,string; relatives; conspire,6,1832
娃,,,wá,baby; doll; pretty girl,6,1833
缴,繳,繳,jiǎo,"deliver, submit; hand over",6,1834
唤,喚,喚,huàn,call,6,1835
赢,贏,贏,yíng,"win; surplus, gain, profit",4,1836
莲,蓮,蓮,lián,"lotus, water lily; paradise",,1837
霸,,,bà,rule by might rather than right,6,1838
桃,,,táo,peach; marriage; surname,5,1839
妥,,,tuǒ,"satisfactory, appropriate",6,1840
瘦,,,shòu,"thin, emaciated, lean; meager",3,1841
搭,,,dā,"join together, attach to; add to",6,1842
赴,,,fù,"go to; attend, be present",6,1843
岳,嶽,嶽,yuè,mountain peak; surname,6,1844
嘉,,,jiā,excellent; joyful; auspicious,5,1845
舱,艙,艙,cāng,hold of ship; cabin,6,1846
俊,,,jùn,"talented, capable; handsome",5,1847
址,,,zhǐ,"site, location, land for house",4,1848
庞,龐,龐,páng,"disorderly, messy; huge, big",6,1849
耕,,,gēng,"plow, cultivate",6,1850
锐,銳,銳,ruì,"sharp, keen, acute, pointed",6,1851
缝,縫,縫,fèng,"sew, mend",6,1852
悔,,,huǐ,"repent, show remorse, regret",4,1853
邀,,,yāo,"invite, welcome; meet, intercept",4,1854
玲,,,líng,tinkling of jade,,1855
惟,,,wéi,"but, however, nevertheless; only",,1856
斥,,,chì,"to scold, upbraid, accuse, reproach",6,1857
宅,,,zhái,"residence, dwelling, home; grave",6,1858
添,,,tiān,"append, add to; increase",6,1859
挖,,,wā,"dig, dig out, gouge out, scoop",6,1860
呵,,,ā,scold; laughing sound; yawn,6,1861
讼,訟,訟,sòng,"accuse; argue, dispute; litigate",6,1862
氧,,,yǎng,oxygen,6,1863
浩,,,hào,"great, numerous, vast, abundant",,1864
羽,,,yǔ,"feather, plume; wings; rad. 124",4,1865
斤,,,jīn,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",3,1866
酷,,,kù,"strong, stimulating; very",6,1867
掠,,,lüè,"rob, ransack, plunder; pass by",6,1868
妖,,,yāo,"strange, weird, supernatural",,1869
祸,禍,禍,huò,"misfortune, calamity, disaster",6,1870
侍,,,shì,"serve, attend upon; attendant, servant; samurai",,1871
乙,,,yǐ,second; 2nd heavenly stem,5,1872
妨,,,fáng,"interfere with, impede, obstruct",5,1873
贪,貪,貪,tān,"be greedy, covet; covetous",6,1874
挣,掙,掙,zhēng,"strive, endeavor, struggle",5,1875
汪,,,wāng,"vast, extensive, deep; surname",,1876
尿,,,niào,urine; urinate,,1877
莉,,,lì,white jasmine,,1878
悬,懸,懸,xuán,"hang, suspend, hoist; be hung",6,1879
唇,脣,脣,chún,lips,6,1880
翰,,,hàn,"writing brush, pen, pencil",,1881
仓,倉,倉,cāng,granary; berth; sea,6,1882
轨,軌,軌,guǐ,"track, rut, path",6,1883
枚,,,méi,"stalk of shrub, trunk of tree",6,1884
盐,鹽,鹽,yán,salt,4,1885
览,覽,覽,lǎn,"look at, inspect; perceive",5,1886
傅,,,fù,"tutor, teacher; assist; surname",4,1887
帅,帥,帥,shuài,"commander, commander-in-chief",4,1888
庙,廟,廟,miào,"temple, shrine; imperial court",6,1889
芬,,,fēn,"fragrance, aroma; perfume",,1890
屏,,,píng,"folding screen, shield",6,1891
寺,,,sì,"court, office; temple, monastery",6,1892
胖,,,pàng,"fat, obese; fatty",3,1893
璃,,,lí,glass,5,1894
愚,,,yú,"stupid, doltish, foolish",6,1895
滴,,,dī,drip; drop of water,5,1896
疏,,,shū,"neglect; careless, lax",6,1897
萧,蕭,蕭,xiāo,common artemisia; dejected,,1898
姿,,,zī,,5,1899
颤,顫,顫,chàn,"shiver, tremble; trembling",6,1900
丑,醜,醜,chǒu,"clown, comedian; 2nd terrestrial branch",5,1901
劣,,,liè,"bad, inferior; slightly",5,1902
柯,,,kē,"axe-handle; stalk, bough; surname",,1903
寸,,,cùn,"inch; small, tiny; KangXi radical 41",6,1904
扔,,,rēng,"throw, hurl; throw away, cast",4,1905
盯,,,dīng,"rivet gaze upon, keep eyes on",6,1906
辱,,,rǔ,"humiliate, insult, abuse",6,1907
匹,,,pǐ,bolt of cloth; counter for horses,5,1908
俱,,,jù,"all, together; accompany",5,1909
辨,,,biàn,"distinguish, discriminate",6,1910
饿,餓,餓,è,hungry; greedy for; hunger,3,1911
蜂,,,fēng,"bee, wasp, hornet",5,1912
哦,,,ó,oh? really? is that so?,6,1913
腔,,,qiāng,chest cavity; hollow in body,6,1914
郁,鬱,鬱,yù,"sweet smelling, rich in aroma; (Cant.) to move, hit",6,1915
溃,潰,潰,kuì,flooding river; militarily defeat,6,1916
谨,謹,謹,jǐn,"prudent, cautious; attentive",5,1917
糟,,,zāo,"sediment, dregs; pickle",5,1918
葛,,,gé,edible bean; surname,,1919
苗,,,miáo,sprouts; Miao nationality,5,1920
肠,腸,腸,cháng,intestines; emotions; sausage,5,1921
忌,,,jì,"jealous, envious; fear",6,1922
溜,,,liū,"slide, glide, slip; slippery",6,1923
鸿,鴻,鴻,hóng,species of wild swan; vast,,1924
爵,,,jué,feudal title or rank,,1925
鹏,鵬,鵬,péng,fabulous bird of enormous size,,1926
鹰,鷹,鷹,yīng,falcon; Accipiter species (various),,1927
笼,籠,籠,lóng,cage; cage-like basket,6,1928
丘,,,qiū,hill; elder; empty; a name,6,1929
桂,,,guì,cassia or cinnamon,,1930
滋,,,zī,"grow, multiply, increase; thrive",6,1931
聊,,,liáo,"somewhat, slightly, at least",3,1932
挡,擋,擋,dǎng,"obstruct, impede; stop; resist",5,1933
纲,綱,綱,gāng,"heavy rope, hawser; main points",5,1934
肌,,,jī,muscle tissue; meat on bones,5,1935
茨,,,cí,"thatching; caltrop, Tribulus terrestris",,1936
壳,殼,殼,ké,"casing, shell, husk",6,1937
痕,,,hén,scar; mark; trace,6,1938
碗,,,wǎn,"bowl, small dish",3,1939
穴,,,xué,"cave, den, hole; KangXi radical 116",6,1940
膀,,,bǎng,upper arm; shoulder; wing,5,1941
卓,,,zhuō,"profound, brilliant, lofty",6,1942
贤,賢,賢,xián,"virtuous, worthy, good; able",6,1943
卧,臥,臥,wò,lie down; crouch,5,1944
膜,,,mó,membrane; to kneel and worship,6,1945
毅,,,yì,"resolute, decisive, firm, persist",6,1946
锦,錦,錦,jǐn,"brocade, tapestry; embroidered",6,1947
欠,,,qiàn,"owe, lack, be deficient; KangXi radical number 76",5,1948
哩,,,lī,mile,,1949
函,,,hán,correspondence; a case; a box,,1950
茫,,,máng,"vast, boundless, widespread",6,1951
昂,,,áng,"rise, raise; proud, bold; upright",6,1952
薛,,,xuē,kind of marsh grass; feudal state,,1953
皱,皺,皺,zhòu,"wrinkles, creases, folds",6,1954
夸,誇,誇,kuā,"extravagant, luxurious; handsome",5,1955
豫,,,yù,"relaxed, comfortable, at ease",5,1956
胃,,,wèi,stomach; gizzard of fowl,5,1957
舌,,,shé,tongue; clapper of bell; KangXi radical 135,6,1958
剥,剝,剝,bō,peel,6,1959
傲,,,ào,"proud, haughty, overbearing",4,1960
拾,,,shí,"pick up, collect, tidy up; accounting form of the numeral ten",4,1961
窝,窩,窩,wō,"nest; cave, den; hiding place",6,1962
睁,睜,睜,zhēng,open eyes; stare,5,1963
携,攜,攜,xié,"lead by hand, take with; carry",6,1964
陵,,,líng,"hill, mound; mausoleum",6,1965
哼,,,hēng,"hum; sing softly; groan, moan; (Cant.) an interjecting indicating disapproval",6,1966
棉,,,mián,cotton; cotton padded,6,1967
晴,,,qíng,"clear weather, fine weather",2,1968
铃,鈴,鈴,líng,bell,5,1969
填,,,tián,"fill in, fill up; make good",4,1970
饲,飼,飼,sì,raise animals; feed; nourish,6,1971
渴,,,kě,"thirsty, parched; yearn, pine",3,1972
吻,,,wěn,kiss; the lips; coinciding,5,1973
扮,,,bàn,dress up; dress up as,4,1974
逆,,,nì,"disobey, rebel; rebel, traitor",6,1975
脆,,,cuì,"crisp; fragile, frail; brittle",5,1976
喘,,,chuǎn,"pant, gasp, breathe heavily",6,1977
罩,,,zhào,basket for catching fish; cover,6,1978
卜,,,bo,fortune telling; prophesy,,1979
炉,爐,爐,lú,"fireplace, stove, oven, furnace",6,1980
柴,,,chái,"firewood, faggots, fuel",5,1981
愉,,,yú,"pleasant, delightful; please",4,1982
绳,繩,繩,shéng,"rope, string, cord; control",5,1983
胎,,,tāi,"unborn child, embryo, fetus",6,1984
蓄,,,xù,"store, save, hoard, gather",6,1985
眠,,,mián,"close eyes, sleep; hibernate",5,1986
竭,,,jié,put forth great effort; exhaust,6,1987
喂,,,wèi,interjection to call attention,1,1988
傻,,,shǎ,"foolish, silly, stupid; an imbecile",5,1989
慕,,,mù,"long for, desire; admire",4,1990
浑,渾,渾,hún,"muddy, turbid; blend, merge, mix",6,1991
奸,,,jiān,"crafty, villainous, false",,1992
扇,,,shàn,fan; door panel,5,1993
柜,櫃,櫃,guì,"cabinet, cupboard; shop counter",5,1994
悦,悅,悅,yuè,"pleased, contented, gratified",6,1995
拦,攔,攔,lán,"obstruct, impede, bar, hinder",5,1996
诞,誕,誕,dàn,"bear children, give birth; birth",6,1997
饱,飽,飽,bǎo,,3,1998
乾,,,gān,"dry; first hexagram; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male)",,1999
泡,,,pào,"bubbles, suds; blister; soak",6,2000
贼,賊,賊,zéi,"thief, traitor; kill",6,2001
亭,,,tíng,pavilion; erect,6,2002
夕,,,xī,"evening, night, dusk; slanted",5,2003
爹,,,diē,"father, daddy",,2004
酬,,,chóu,"toast; reward, recompense",6,2005
儒,,,rú,Confucian scholar,6,2006
姻,,,yīn,relatives by marriage,5,2007
卵,,,luǎn,egg; ovum; roe; spawn,,2008
氛,,,fēn,"gas, vapor, air",5,2009
泄,,,xiè,leak; vent; flow; reveal,6,2010
杆,,,gān,pole; shaft of spear,6,2011
挨,,,āi,"near, close by, next to, towards, against; to wait; to lean on",6,2012
僧,,,sēng,"Buddhist priest, monk; san of Sanskrit sangha",,2013
蜜,,,mì,honey; sweet; nectar,5,2014
吟,,,yín,"sing, hum; recite; type of poetry",6,2015
猩,,,xīng,species of orangutan,,2016
遂,,,suì,"comply with, follow along; thereupon",,2017
狭,狹,狹,xiá,"narrow, limited; narrow-minded",6,2018
肖,,,xiào,"look like, resemble, be like",6,2019
甜,,,tián,"sweet, sweetness",3,2020
霞,,,xiá,rosy clouds,6,2021
驳,駁,駁,bó,"varicolored, variegated; mixed",6,2022
裕,,,yù,"abundant, rich, plentiful",6,2023
顽,頑,頑,wán,"obstinate, stubborn; recalcitrant",6,2024
於,,,yú,"in, at, on; interjection alas!",,2025
摘,,,zhāi,"pluck, pick; select; specify",5,2026
矮,,,ǎi,"short, dwarf; low",3,2027
秒,,,miǎo,beard of grain or corn; a second,4,2028
卿,,,qīng,"noble, high officer",,2029
畜,,,chù,"livestock, domestic animals",6,2030
咽,,,yàn,throat; pharynx,6,2031
披,,,pī,wear; split; crack,5,2032
辅,輔,輔,fǔ,cheek bone; protective; assist,5,2033
勾,,,gōu,"hook, join, connect; entice",6,2034
盆,,,pén,"basin, tub, pot, bowl",5,2035
疆,,,jiāng,"boundary, border, frontier",6,2036
赌,賭,賭,dǔ,"bet, gamble, wager; compete",6,2037
塑,,,sù,"model in clay, sculpt; plastics",4,2038
畏,,,wèi,"fear, dread, awe, reverence",6,2039
吵,,,chǎo,"argue, dispute; disturb, annoy",5,2040
囊,,,náng,"bag, purse, sack; put in bag",,2041
嗯,,,ń,final particle,5,2042
泊,,,pō,anchor vessel; lie at anchor,6,2043
