character,traditional_character,alternate_characters,pinyin,hsk_level,frequency,definition
"洙","","","zhū","","5496","name of a river in Shandong"
"氡","","","dōng","","5497","radon"
"胗","","","zhēn","","5498","pustules of any kind, a rash or eruption.measles; various kinds of fever"
"癯","","","qú","","5499","thin, emaciated; worn, tired"
"鞒","鞽","鞽","qiáo","","5500","mud shoe, sledge for the feet"
"锆","鋯","鋯","gào","","5501","zirconium"
"佤","","","wǎ","","5502","the Va (Wa) nationality, living in Yunnan"
"錢","","","qián","","5503","money, currency, coins"
"飲","","","yǐn","","5504","drink; swallow; kind of drink"
"細","","","xì","","5505","fine, tiny; slender, thin"
"勰","","","xié","","5506","peaceful, harmonious"
"钺","鉞","鉞","yuè","","5507","broad-axe, a battle axe, halberd"
"繇","","","yáo","","5508","reason, cause"
"螭","","","chī","","5509","a dragon whose horns have not grown; cruel"
"嵬","","","wéi","","5510","high; rugged, rocky, precipitous"
"轸","軫","軫","zhěn","","5511","cross board at rear of carriage"
"肟","","","wò","","5512","an organic compound"
"肫","","","zhūn","","5513","the gizzard of a fowl; honest, sincere"
"邨","","","cūn","","5514","village, hamlet; rustic"
"瘿","癭","癭","yǐng","","5515","swelling, goiter"
"仞","","","rèn","","5516",""
"奁","奩","奩","lián","","5517",""
"宄","","","guǐ","","5518","a traitor; a villain"
"轳","轤","轤","lú","","5519","pulley, windlass, capstan"
"熳","","","màn","","5520",""
"睇","","","dì","","5521","look at, glance at; stare at"
"钼","鉬","鉬","mù","","5522","molybdenum"
"蝼","螻","螻","lóu","","5523","a mole cricket, Gryllotalpa africana"
"跆","","","tái","","5524","trample"
"樗","","","chū","","5525","Ailanthus glandulosa or A. altissima, a kind of tree useless as timber"
"鲰","鯫","鯫","zōu","","5526","small fish; small; minnow"
"節","","","jié","","5527","knot, node, joint; section"
"诶","誒","誒","éi","","5528","an exclamation of confirmation"
"薜","","","bì","","5529","evergreen shrubs, ligusticum"
"铧","鏵","鏵","huá","","5530","spade, shovel, plowshare"
"裥","襉","襉","jiǎn","","5531","folds"
"榇","櫬","櫬","chèn","","5532","coffin; tung tree"
"馃","餜","餜","guǒ","","5533","cakes, biscuits, pastry"
"術","","","shù","","5534","art, skill, special feat; method, technique"
"蹚","","","tāng","","5535","tread through mud and water"
"怄","慪","慪","òu","","5536","annoyed"
"寤","","","wù","","5537","few, scarce; empty, deserted"
"缗","緡","緡","mín","","5538","fishing-line; cord; string of coi"
"硗","磽","磽","qiāo","","5539","barren land; sandy soil"
"碡","","","dú","","5540","stone roller used to level fields"
"矬","","","cuó","","5541","a dwarf"
"鸱","鴟","鴟","chī","","5542","kite, horned owl; wine cups"
"虺","","","huī","","5543","large poisonous snake"
"糅","","","róu","","5544","blend, mix; mixed"
"雠","讎","讎","chóu","","5545","enemy, rival, opponent"
"帑","","","tǎng","","5546","a treasury; public funds"
"镧","鑭","鑭","lán","","5547","lanthanum"
"埙","壎","壎","xūn","","5548","instrument"
"啁","","","zhāo","","5549","chirp, twitter, twittering"
"悒","","","yì","","5550","sorrowful, depressed, unhappy"
"犍","","","jiān","","5551","a bullock; a fabulous monster"
"硌","","","gè","","5552",""
"锩","錈","錈","juǎn","","5553","to bend iron"
"虿","蠆","蠆","chài","","5554","a kind of scorpion"
"蛑","","","móu","","5555","a marine crab"
"艉","","","wěi","","5556",""
"钅","釒","釒","jīn","","5557","gold; money; KangXi radical 167"
